parte,variante,termino,est,ic_inf,ic_sup,p
2_intensidad_nb,b_sin_colchane,C(cod_reg)[T.7],0.19320489312590833,0.08349000980212103,0.44709697383273456,0.00012283406269255134
2_intensidad_nb,b_sin_colchane,C(cod_reg)[T.8],0.18909219082158377,0.08366207778733607,0.42738427702686826,6.25058683007207e-05
2_intensidad_nb,b_sin_colchane,C(cod_reg)[T.9],0.12428483038746206,0.052920638272815235,0.2918845949062377,1.694713695399756e-06
2_intensidad_nb,b_sin_colchane,C(cod_reg)[T.10],0.19843173687618654,0.08564180212123963,0.45976559605738243,0.00016166249897683457
2_intensidad_nb,b_sin_colchane,C(cod_reg)[T.11],0.9784549158463333,0.2858955240658681,3.3486848927487354,0.9723215249259755
2_intensidad_nb,b_sin_colchane,C(cod_reg)[T.12],0.5161603221592868,0.1486437445527709,1.7923490757930607,0.297765963094239
2_intensidad_nb,b_sin_colchane,C(cod_reg)[T.13],0.1879362252842225,0.08792286769608901,0.4017160233691187,1.6101603205248043e-05
2_intensidad_nb,b_sin_colchane,C(cod_reg)[T.14],0.12032140224580105,0.044931579743552,0.32220633952834576,2.514523925731699e-05
2_intensidad_nb,b_sin_colchane,C(cod_reg)[T.15],0.5972348455729769,0.13210683958837954,2.7000075232891483,0.5031008790034228
2_intensidad_nb,b_sin_colchane,C(cod_reg)[T.16],0.0826578972409452,0.03289100726612922,0.20772632230483584,1.1425076346795249e-07
2_intensidad_nb,b_sin_colchane,log_pob,1.3536321589526084,1.0981690492765128,1.6685227315028177,0.004546476390466445
2_intensidad_nb,b_sin_colchane,alpha,1.5902729292456268,1.4361686382550036,1.7609129750697334,4.641566533640317e-19
1_presencia_logit,c_sin_corredor_norte,Intercept,1.486665387129892e-09,1.8905808331221493e-12,1.169044948816147e-06,2.2968757152660317e-09
1_presencia_logit,c_sin_corredor_norte,C(cuartil)[T.2],0.749143880015755,0.3070801738999616,1.8275896676673404,0.525590800348536
1_presencia_logit,c_sin_corredor_norte,C(cuartil)[T.3],0.8590971217595832,0.2946442701317552,2.5048777099434836,0.7808870242446645
1_presencia_logit,c_sin_corredor_norte,C(cuartil)[T.4],1.3491640546611736,0.35131824038920884,5.181181723935589,0.6626635152256379
1_presencia_logit,c_sin_corredor_norte,C(cod_reg)[T.2],0.8721614043221054,0.004016146394374568,189.40183959792267,0.9602626700767461
1_presencia_logit,c_sin_corredor_norte,C(cod_reg)[T.3],0.2805567174415548,0.002182354872311713,36.06749420097874,0.6079865718227078
1_presencia_logit,c_sin_corredor_norte,C(cod_reg)[T.4],0.050974832150197484,0.0005082919690964383,5.112088466319654,0.20551970304282907
1_presencia_logit,c_sin_corredor_norte,C(cod_reg)[T.5],0.009620361815182252,0.0001082954381636567,0.854619206721825,0.04250007923492986
1_presencia_logit,c_sin_corredor_norte,C(cod_reg)[T.6],0.035754446220009166,0.0004241667020599801,3.0138632247440182,0.14092933756095247
1_presencia_logit,c_sin_corredor_norte,C(cod_reg)[T.7],0.00214880708258715,2.189904427155234e-05,0.210848100077812,0.008659854224632767
1_presencia_logit,c_sin_corredor_norte,C(cod_reg)[T.8],0.002637311971834057,2.7122525984302705e-05,0.25644419847932753,0.011000410365949686
1_presencia_logit,c_sin_corredor_norte,C(cod_reg)[T.9],0.0033153754798570007,3.4037226845669134e-05,0.3229321419831123,0.01453392033927207
1_presencia_logit,c_sin_corredor_norte,C(cod_reg)[T.10],0.01068331637667179,0.0001233638647017558,0.9251756912771162,0.046137733823045986
1_presencia_logit,c_sin_corredor_norte,C(cod_reg)[T.11],0.013021609006218203,4.857581488971064e-05,3.490673321606794,0.12807088451516285
